Start,End,Minutos,Rental place,Return place
06/03/2024 22:54,06/03/2024 22:55,"1,50",Cabildo de Gran Canaria,Cabildo de Gran Canaria
06/03/2024 22:54,06/03/2024 23:12,"18,23",Plazoleta de Farray,Plaza OShanahan
06/03/2024 22:55,06/03/2024 23:18,"23,57",Parque Santa Catalina,San Telmo
06/03/2024 22:56,06/03/2024 23:04,"8,65",Cabildo de Gran Canaria,Piscina Julio Navarro
06/03/2024 22:56,06/03/2024 23:23,"26,88",Gabinete Literario,Parque del Estadio Insular
06/03/2024 22:58,06/03/2024 23:12,"14,27",Plaza de España,Torre Woermann
07/03/2024 06:00,07/03/2024 06:03,"3,40",Base Naval,C.C. El Muelle
07/03/2024 06:00,07/03/2024 06:12,"12,55",Base Naval,Intermodal El Rincon
07/03/2024 06:03,07/03/2024 06:20,"17,02",Parque Santa Catalina,Gabinete Literario
07/03/2024 06:19,07/03/2024 06:27,"8,47",Mercado Central,Parque Santa Catalina
07/03/2024 06:20,07/03/2024 06:27,"6,42",Plazoleta de Farray,Piscina Julio Navarro
07/03/2024 06:32,07/03/2024 06:44,"11,88",Plazoleta de Farray,Intermodal El Rincon
07/03/2024 06:38,07/03/2024 06:50,"12,65",IES Mesa y Lopez,Oficina de la Sitycleta
07/03/2024 06:38,07/03/2024 06:53,"15,40",IES Mesa y Lopez,Plaza de la feria 
07/03/2024 06:38,07/03/2024 06:46,"7,27",Plaza Manuel Becerra,Parque Santa Catalina
07/03/2024 06:40,07/03/2024 06:57,"16,88",Plaza de España,Obelisco
07/03/2024 06:45,07/03/2024 06:54,"8,70",Las Canteras - Luis Morote,Plaza Manuel Becerra
07/03/2024 06:45,07/03/2024 06:51,"5,97",Mercado Central,Churruca
07/03/2024 06:47,07/03/2024 06:55,"7,52",San Bernardo,Plaza OShanahan
07/03/2024 06:48,07/03/2024 06:56,"8,17",Plaza OShanahan,Base Naval
07/03/2024 06:48,07/03/2024 06:54,"6,03",Castillo de la Luz,C.C. El Muelle
07/03/2024 06:50,07/03/2024 06:59,"9,52",Plaza de España (elect.),Castillo de Mata (elect.)
07/03/2024 06:53,07/03/2024 07:05,"11,78",Castillo de la Luz,Churruca
07/03/2024 06:54,07/03/2024 07:04,"9,58",Plaza de la feria ,Torre Las Palmas
07/03/2024 06:57,07/03/2024 07:01,"4,05",Plaza OShanahan,Ayuntamiento
07/03/2024 06:58,07/03/2024 07:08,"9,98",Mercado Central,Oficina Sagulpa
07/03/2024 06:59,07/03/2024 07:03,"4,35",Plazoleta de Farray,Aparcamiento Sanapu
07/03/2024 07:00,07/03/2024 07:23,"22,67",C.C. El Muelle,San Cristobal
07/03/2024 07:04,07/03/2024 07:07,"2,92",Churruca,Plazoleta de Farray
07/03/2024 07:10,07/03/2024 07:28,"18,22",Oficina de la Sitycleta,San Cristobal
07/03/2024 07:11,07/03/2024 07:16,"5,08",Plaza de España,Churruca
07/03/2024 07:13,07/03/2024 07:23,"10,00",Paseo de Chil - Av. Escaleritas,San Telmo
07/03/2024 07:14,07/03/2024 07:20,"6,48",Parque Santa Catalina,Autoridad portuaria
07/03/2024 07:17,07/03/2024 07:29,"11,17",Plaza del Pilar,Parque Santa Catalina
07/03/2024 07:18,07/03/2024 07:32,"14,20",San Bernardo,Ayuntamiento
07/03/2024 07:19,07/03/2024 07:29,"9,75",Paseo de Chil - Av. Escaleritas,Base Naval
07/03/2024 07:20,07/03/2024 07:26,"5,95",San Bernardo,Plaza de la feria 
07/03/2024 07:22,07/03/2024 07:45,"22,92",Paseo de Chil - Av. Escaleritas,San Cristobal
07/03/2024 07:23,07/03/2024 07:33,"10,40",Aparcamiento Sanapu,Plaza de España (elect.)
07/03/2024 07:24,07/03/2024 07:32,"8,43",Parque del Estadio Insular,Plaza OShanahan
07/03/2024 07:25,07/03/2024 07:37,"12,93",Paseo de Chil - Av. Escaleritas,San Bernardo
07/03/2024 07:31,07/03/2024 07:32,"0,97",C.C. La Minilla,C.C. La Minilla
07/03/2024 07:31,07/03/2024 07:40,"8,60",Parque Santa Catalina,Plaza del Pilar
07/03/2024 07:32,07/03/2024 07:56,"24,50",C.C. El Muelle,San Cristobal
07/03/2024 07:32,07/03/2024 07:49,"16,82",Cabildo de Gran Canaria,Mercado Central
07/03/2024 07:32,07/03/2024 07:42,"9,38",Plaza de España (elect.),Oficina Sitycleta (elect.)
07/03/2024 07:32,07/03/2024 07:49,"17,25",C.C. La Minilla,San Telmo
07/03/2024 07:33,07/03/2024 07:41,"7,80",Ayuntamiento,Plaza de la feria 
07/03/2024 07:35,07/03/2024 07:40,"4,45",Plaza Manuel Becerra (elect.),El Sebadal (elec.)
07/03/2024 07:35,07/03/2024 07:50,"14,28",Las Canteras - Luis Morote,Oficina de la Sitycleta
07/03/2024 07:36,07/03/2024 07:54,"17,82",Plaza del Pilar,Plaza OShanahan
07/03/2024 07:38,07/03/2024 08:04,"26,65",Plaza OShanahan,Muelle Deportivo
07/03/2024 07:38,07/03/2024 07:47,"9,27",Plaza OShanahan,Plaza de España
07/03/2024 07:38,07/03/2024 07:42,"4,33",Plazoleta de Farray,C.C. El Muelle
07/03/2024 07:38,07/03/2024 08:36,"57,98",Churruca,Churruca
07/03/2024 07:41,07/03/2024 07:50,"9,83",Gabinete Literario,Plaza de la feria 
07/03/2024 07:41,07/03/2024 07:58,"16,97",Torre Las Palmas,San Cristobal
07/03/2024 07:42,07/03/2024 07:55,"13,53",Teatro Perez Galdos,San Cristobal
07/03/2024 07:42,07/03/2024 07:56,"14,78",Las Canteras - Luis Morote,Plaza de la feria 
07/03/2024 07:44,07/03/2024 07:58,"14,15",Paseo de Chil - Av. Escaleritas,Plaza San Agustin
07/03/2024 07:44,07/03/2024 07:52,"7,42",Plaza de España,Paseo de Chil - Av. Escaleritas
07/03/2024 07:44,07/03/2024 07:51,"6,22",Plaza de España,Torre Las Palmas
07/03/2024 07:44,07/03/2024 07:53,"8,83",Ayuntamiento,C.C. El Muelle
07/03/2024 07:44,07/03/2024 08:07,"23,07",Plaza de America,Plaza de America
07/03/2024 07:45,07/03/2024 07:46,"1,92",ULPGC - Polivalente I,ULPGC - Polivalente I
07/03/2024 07:45,07/03/2024 08:04,"19,62",Plaza de España (elect.),San Cristobal
07/03/2024 07:45,07/03/2024 07:53,"7,18",Castillo de Mata (elect.),Canodromo
07/03/2024 07:46,07/03/2024 07:50,"4,02",Obelisco,San Telmo
07/03/2024 07:46,07/03/2024 08:02,"15,85",Plaza OShanahan,Plazoleta de Farray
07/03/2024 07:47,07/03/2024 07:52,"5,57",ULPGC - Polivalente I,ULPGC - Ingenieria
07/03/2024 07:47,07/03/2024 07:54,"7,05",Plaza de España (elect.),Torre Las Palmas
07/03/2024 07:48,07/03/2024 07:57,"9,35",Paseo de Chil - Av. Escaleritas,Las Canteras - Luis Morote
07/03/2024 07:49,07/03/2024 08:04,"14,70",Intermodal El Rincon,Base Naval
07/03/2024 07:49,07/03/2024 07:56,"7,18",Muelle Deportivo,Obelisco
07/03/2024 07:50,07/03/2024 08:08,"18,75",Plaza de España,San Telmo
07/03/2024 07:50,07/03/2024 07:57,"6,73",Plaza de la feria ,Teatro Perez Galdos
07/03/2024 07:50,07/03/2024 07:57,"6,83",Teatro Perez Galdos,Plaza de la feria 
07/03/2024 07:51,07/03/2024 07:59,"7,18",Mercado Central,Ayuntamiento
07/03/2024 07:52,07/03/2024 08:00,"8,12",Obelisco,Teatro Perez Galdos
07/03/2024 07:52,07/03/2024 08:04,"12,02",Intermodal El Rincon,C.C. El Muelle
07/03/2024 07:52,07/03/2024 08:00,"7,65",San Telmo,Obelisco
07/03/2024 07:53,07/03/2024 07:59,"6,05",San Telmo,Obelisco
07/03/2024 07:53,07/03/2024 07:59,"5,42",Plaza del Pilar,Plazoleta de Farray
07/03/2024 07:56,07/03/2024 08:04,"8,02",Plaza OShanahan,San Telmo
07/03/2024 07:57,07/03/2024 08:08,"11,13",Plaza OShanahan,Teatro Perez Galdos
07/03/2024 07:57,07/03/2024 08:05,"7,40",Torre Las Palmas,Parque Santa Catalina
07/03/2024 07:59,07/03/2024 08:10,"10,77",Plaza OShanahan,Base Naval
07/03/2024 08:02,07/03/2024 08:19,"17,02",Plaza del Pilar,Plaza OShanahan
07/03/2024 08:03,07/03/2024 08:08,"5,40",Barranquillo Don Zoilo,Cabildo de Gran Canaria
07/03/2024 08:04,07/03/2024 08:13,"8,82",IES Mesa y Lopez,Torre Woermann
07/03/2024 08:07,07/03/2024 08:15,"8,62",Leon y Castillo,San Bernardo
07/03/2024 08:09,07/03/2024 08:18,"9,62",C.C. El Muelle,Plaza del Pilar
07/03/2024 08:09,07/03/2024 08:16,"6,25",C.C. El Muelle,Plaza Manuel Becerra
07/03/2024 08:11,07/03/2024 08:29,"18,13",San Telmo,Base Naval
07/03/2024 08:11,07/03/2024 08:20,"8,45",Plazoleta de Farray,Castillo de la Luz
07/03/2024 08:13,07/03/2024 08:19,"6,03",Torre Woermann,Base Naval
07/03/2024 08:13,07/03/2024 08:23,"9,48",Mercado Central,Plaza del Pilar
07/03/2024 08:14,07/03/2024 08:26,"12,07",Teatro Perez Galdos,Plaza OShanahan
07/03/2024 08:16,07/03/2024 08:37,"21,78",Torre Woermann,Torre Woermann
07/03/2024 08:16,07/03/2024 08:23,"6,90",Cabildo de Gran Canaria,Leon y Castillo
07/03/2024 08:16,07/03/2024 08:27,"11,35",Paseo de Chil - Av. Escaleritas,San Telmo
07/03/2024 08:16,07/03/2024 08:39,"23,17",Obelisco,Plaza de España
07/03/2024 08:16,07/03/2024 08:23,"7,00",Teatro Perez Galdos,Plaza de la feria 
07/03/2024 08:17,07/03/2024 08:28,"11,07",Paseo de Chil - Av. Escaleritas,Leon y Castillo
07/03/2024 08:18,07/03/2024 08:28,"9,82",C.C. La Minilla,Plazoleta de Farray
07/03/2024 08:18,07/03/2024 08:27,"8,70",Paseo de Chil - Av. Escaleritas,Churruca
07/03/2024 08:19,07/03/2024 08:30,"10,92",Barranquillo Don Zoilo,Churruca
07/03/2024 08:19,07/03/2024 08:23,"3,15",Plaza de España,Base Naval
07/03/2024 08:21,07/03/2024 08:24,"3,35",Torre Woermann,C.C. El Muelle
07/03/2024 08:22,07/03/2024 08:34,"11,62",Oficina de la Sitycleta,Base Naval
07/03/2024 08:25,07/03/2024 08:34,"9,15",San Bernardo,Plaza OShanahan
07/03/2024 08:26,07/03/2024 08:34,"7,67",Base Naval,Oficina de la Sitycleta
07/03/2024 08:27,07/03/2024 08:47,"20,30",Torre Woermann,San Telmo
07/03/2024 08:27,07/03/2024 08:39,"11,40",Mercado Central,Oficina Sagulpa
07/03/2024 08:28,07/03/2024 08:31,"3,10",Base Naval,Torre Las Palmas
07/03/2024 08:30,07/03/2024 08:41,"11,32",Paseo de Chil - Av. Escaleritas,Plaza de la feria 
07/03/2024 08:30,07/03/2024 08:42,"11,83",Leon y Castillo,Mercado Central
07/03/2024 08:31,07/03/2024 08:35,"3,95",Base Naval,Plaza de España
07/03/2024 08:32,07/03/2024 08:40,"8,47",Plaza de España (elect.),Oficina Sitycleta (elect.)
07/03/2024 08:33,07/03/2024 08:43,"9,40",Oficina Sitycleta (elect.),Plaza de España (elect.)
07/03/2024 08:34,07/03/2024 08:53,"19,25",Paseo de Chil - Av. Escaleritas,Parque Santa Catalina
07/03/2024 08:34,07/03/2024 08:35,"1,37",Parque Santa Catalina,Parque Santa Catalina
07/03/2024 08:34,07/03/2024 08:48,"13,68",Leon y Castillo,Base Naval
07/03/2024 08:35,07/03/2024 08:40,"4,88",Plaza OShanahan,Obelisco
07/03/2024 08:36,07/03/2024 08:46,"10,42",Parque Santa Catalina,Plaza del Pilar
07/03/2024 08:36,07/03/2024 08:47,"10,70",Churruca,Castillo de la Luz
07/03/2024 08:37,07/03/2024 08:45,"8,37",Base Naval,Torre Woermann
07/03/2024 08:37,07/03/2024 08:44,"6,42",Leon y Castillo,San Telmo
07/03/2024 08:39,07/03/2024 09:01,"21,63",Plaza de España,Torre Las Palmas
07/03/2024 08:40,07/03/2024 08:48,"8,52",Ayuntamiento,Plaza de la feria 
07/03/2024 08:40,07/03/2024 08:51,"10,77",Ayuntamiento,Teatro Perez Galdos
07/03/2024 08:40,07/03/2024 08:55,"14,20",Plazoleta de Farray,Obelisco
07/03/2024 08:40,07/03/2024 08:54,"13,85",Plaza de España (elect.),Castillo de Mata (elect.)
07/03/2024 08:41,07/03/2024 08:55,"14,23",Torre Las Palmas,Plaza de la feria 
07/03/2024 08:42,07/03/2024 08:48,"6,03",Leon y Castillo,San Telmo
07/03/2024 08:47,07/03/2024 08:50,"2,70",Base Naval,C.C. El Muelle
07/03/2024 08:47,07/03/2024 08:56,"8,40",Paseo de Chil - Av. Escaleritas,Obelisco
07/03/2024 08:48,07/03/2024 08:58,"10,02",IES Mesa y Lopez,Torre Las Palmas
07/03/2024 08:49,07/03/2024 08:54,"5,23",San Cristobal,Ciudad de la Justicia
07/03/2024 08:49,07/03/2024 08:58,"9,22",Aparcamiento Sanapu,Plazoleta de Farray
07/03/2024 08:50,07/03/2024 08:58,"8,12",Plazoleta de Farray,Plaza del Pilar
07/03/2024 08:55,07/03/2024 09:09,"13,12",Parque Santa Catalina,Ayuntamiento
07/03/2024 08:56,07/03/2024 09:03,"7,08",Parque del Estadio Insular,Plaza de la feria 
07/03/2024 08:58,07/03/2024 09:14,"15,23",Cabildo de Gran Canaria,San Cristobal
07/03/2024 09:00,07/03/2024 09:27,"26,68",Castillo de Mata (elect.),El Sebadal (elec.)
07/03/2024 09:01,07/03/2024 09:08,"7,22",Leon y Castillo,San Bernardo
07/03/2024 09:01,07/03/2024 09:09,"7,75",Plazoleta de Farray,Castillo de la Luz
07/03/2024 09:01,07/03/2024 09:14,"12,45",Plaza de España (elect.),Castillo de Mata (elect.)
07/03/2024 09:02,07/03/2024 09:14,"11,28",Intermodal El Rincon,Plaza de España
07/03/2024 09:03,07/03/2024 09:12,"8,73",Plaza de la feria ,Ayuntamiento
07/03/2024 09:07,07/03/2024 09:16,"9,60",Plaza OShanahan,Gabinete Literario
07/03/2024 09:11,07/03/2024 09:30,"19,75",Castillo de Mata (elect.),Castillo de Mata (elect.)
07/03/2024 09:13,07/03/2024 09:26,"13,05",Castillo de Mata (elect.),Plaza de España (elect.)
07/03/2024 09:13,07/03/2024 09:28,"14,85",Plazoleta de Farray,Plaza de la feria 
07/03/2024 09:14,07/03/2024 09:37,"22,67",Plazoleta de Farray,Plaza de la feria 
07/03/2024 09:17,07/03/2024 09:24,"7,45",Paseo de Chil - Av. Escaleritas,Base Naval
07/03/2024 09:22,07/03/2024 09:30,"8,03",Las Canteras - Luis Morote,Plaza del Pilar
07/03/2024 09:23,07/03/2024 09:36,"12,40",IES Mesa y Lopez,Piscina Julio Navarro
07/03/2024 09:23,07/03/2024 09:29,"5,32",Obelisco,Leon y Castillo
07/03/2024 09:24,07/03/2024 09:33,"9,02",Cabildo de Gran Canaria,Plaza OShanahan
07/03/2024 09:27,07/03/2024 09:32,"5,05",C.C. El Muelle,Castillo de la Luz
07/03/2024 09:28,07/03/2024 09:36,"8,00",Plaza de España,Piscina Julio Navarro
07/03/2024 09:29,07/03/2024 09:39,"10,17",Plaza de España,Ayuntamiento
07/03/2024 09:32,07/03/2024 09:45,"13,45",Torre Las Palmas,Plaza del Pilar
07/03/2024 09:32,07/03/2024 09:36,"3,95",Base Naval,Plaza de España (elect.)
07/03/2024 09:32,07/03/2024 09:36,"3,82",Plaza OShanahan,Obelisco
07/03/2024 09:35,07/03/2024 09:44,"8,67",C.C. El Muelle,Plazoleta de Farray
07/03/2024 09:39,07/03/2024 09:47,"8,18",Obelisco,Teatro Perez Galdos
07/03/2024 09:41,07/03/2024 09:55,"14,23",Paseo de Chil - Av. Escaleritas,San Bernardo
07/03/2024 09:44,07/03/2024 10:01,"17,77",Gabinete Literario,Hoya de la Plata
07/03/2024 09:44,07/03/2024 09:51,"7,27",Plazoleta de Farray,Parque Santa Catalina
07/03/2024 09:44,07/03/2024 10:20,"36,03",Castillo de la Luz,Castillo de la Luz
07/03/2024 09:46,07/03/2024 09:52,"6,45",Plaza OShanahan,San Telmo
07/03/2024 09:48,07/03/2024 10:00,"12,67",Mercado Central,Torre Woermann
07/03/2024 09:48,07/03/2024 10:15,"26,63",Ayuntamiento,Torre Woermann
07/03/2024 09:52,07/03/2024 10:04,"11,85",Torre Las Palmas,Plazoleta de Farray
07/03/2024 09:54,07/03/2024 10:00,"5,35",Churruca,Churruca
07/03/2024 09:56,07/03/2024 10:11,"15,30",Leon y Castillo,Las Canteras - Luis Morote
07/03/2024 09:57,07/03/2024 10:02,"5,57",Piscina Julio Navarro,Mercado Central
07/03/2024 09:58,07/03/2024 10:17,"19,08",Las Canteras - Luis Morote,Plaza del Pilar
07/03/2024 09:58,07/03/2024 10:06,"7,58",Las Canteras - Luis Morote,Plaza del Pilar
07/03/2024 10:01,07/03/2024 10:10,"9,20",Churruca,Plaza de España
07/03/2024 10:02,07/03/2024 10:16,"14,17",IES Mesa y Lopez,Obelisco
07/03/2024 10:03,07/03/2024 10:13,"10,32",Plaza del Pilar,Plazoleta de Farray
07/03/2024 10:06,07/03/2024 10:14,"8,88",Plaza del Pilar,Las Canteras - Luis Morote
07/03/2024 10:07,07/03/2024 10:20,"13,22",Oficina de la Sitycleta,Mercado Central
07/03/2024 10:09,07/03/2024 10:14,"4,70",Plaza OShanahan,Plaza de la feria 
07/03/2024 10:14,07/03/2024 10:18,"3,70",Churruca,Churruca
07/03/2024 10:17,07/03/2024 10:48,"30,07",C.C. La Minilla,Torre Woermann
07/03/2024 10:18,07/03/2024 10:28,"10,27",Churruca,Castillo de la Luz
07/03/2024 10:19,07/03/2024 10:37,"18,17",Plaza de la feria ,Base Naval
07/03/2024 10:20,07/03/2024 10:22,"2,62",IES Mesa y Lopez,Plaza de America
07/03/2024 10:22,07/03/2024 10:26,"4,12",Plaza de la feria ,San Telmo
07/03/2024 10:23,07/03/2024 10:28,"4,98",Plaza Manuel Becerra,Torre Woermann
07/03/2024 10:26,07/03/2024 10:45,"19,00",Torre Woermann,Intermodal El Rincon
07/03/2024 10:26,07/03/2024 11:06,"39,65",Las Canteras - Luis Morote,C.C. El Muelle
07/03/2024 10:27,07/03/2024 10:30,"2,42",San Bernardo,Cabildo de Gran Canaria
07/03/2024 10:29,07/03/2024 10:38,"8,53",Teatro Perez Galdos,Ciudad de la Justicia
07/03/2024 10:30,07/03/2024 10:38,"7,98",Leon y Castillo,Obelisco
07/03/2024 10:31,07/03/2024 10:41,"9,48",Canodromo,C.C. La Ballena (elect.)
07/03/2024 10:33,07/03/2024 12:45,"131,68",Parque Santa Catalina,Plazoleta de Farray
07/03/2024 10:36,07/03/2024 10:37,"1,38",Parque Santa Catalina,Parque Santa Catalina
07/03/2024 10:36,07/03/2024 10:43,"6,90",Las Canteras - Luis Morote,Churruca
07/03/2024 10:37,07/03/2024 10:44,"7,52",Oficina de la Sitycleta,San Telmo
07/03/2024 10:38,07/03/2024 10:50,"12,05",San Telmo,Torre Las Palmas
07/03/2024 10:38,07/03/2024 10:45,"7,02",Parque Santa Catalina,Torre Las Palmas
07/03/2024 10:39,07/03/2024 10:48,"8,78",Plaza de la feria ,Ayuntamiento
07/03/2024 10:43,07/03/2024 10:48,"5,92",C.C. La Minilla,Plaza del Pilar
07/03/2024 10:48,07/03/2024 11:06,"17,63",Plaza de España (elect.),San Telmo
07/03/2024 10:50,07/03/2024 10:59,"8,73",San Telmo,Plaza San Agustin
07/03/2024 10:51,07/03/2024 10:58,"7,08",Plaza del Pilar,Plazoleta de Farray
07/03/2024 10:51,07/03/2024 10:57,"5,80",Las Canteras - Luis Morote,Plaza de España
07/03/2024 10:51,07/03/2024 11:02,"11,17",Castillo de Mata (elect.),Plaza de España (elect.)
07/03/2024 10:51,07/03/2024 11:17,"25,75",Plazoleta de Farray,Base Naval
07/03/2024 10:57,07/03/2024 11:32,"34,57",Plaza San Agustin,Churruca
07/03/2024 10:57,07/03/2024 11:06,"8,30",Piscina Julio Navarro,IES Mesa y Lopez
07/03/2024 10:57,07/03/2024 11:32,"34,65",Plaza San Agustin,Churruca
07/03/2024 10:57,07/03/2024 11:06,"8,87",Piscina Julio Navarro,IES Mesa y Lopez
07/03/2024 10:58,07/03/2024 11:11,"13,18",Plaza de España (elect.),Castillo de Mata (elect.)
07/03/2024 10:59,07/03/2024 11:41,"41,88",Teatro Perez Galdos,C.C. El Muelle
07/03/2024 11:00,07/03/2024 11:16,"16,20",Obelisco,C.C. El Muelle
07/03/2024 11:01,07/03/2024 11:29,"27,97",Plaza San Agustin,Base Naval
07/03/2024 11:03,07/03/2024 11:20,"16,85",Intermodal El Rincon,Plaza de España (elect.)
07/03/2024 11:05,07/03/2024 11:12,"7,37",Parque del Estadio Insular,Plaza OShanahan
07/03/2024 11:06,07/03/2024 11:13,"7,10",Castillo de la Luz,Plazoleta de Farray
07/03/2024 11:06,07/03/2024 11:19,"13,17",Plaza OShanahan,Torre Woermann
07/03/2024 11:06,07/03/2024 11:42,"35,72",Teatro Perez Galdos,C.C. El Muelle
07/03/2024 11:07,07/03/2024 11:11,"3,65",Plazoleta de Farray,Churruca
07/03/2024 11:08,07/03/2024 11:23,"15,33",Plaza de España,Plaza OShanahan
07/03/2024 11:08,07/03/2024 11:16,"7,97",Plaza de España (elect.),Oficina Sitycleta (elect.)
07/03/2024 11:09,07/03/2024 11:26,"16,85",Plaza Manuel Becerra,Mercado Central
07/03/2024 11:09,07/03/2024 11:17,"8,45",Plaza de España,Las Canteras - Luis Morote
07/03/2024 11:10,07/03/2024 11:20,"9,67",Plazoleta de Farray,Aparcamiento Sanapu
07/03/2024 11:10,07/03/2024 11:17,"6,28",Plazoleta de Farray,Plaza del Pilar
07/03/2024 11:14,07/03/2024 11:28,"13,33",Parque Santa Catalina,Leon y Castillo
07/03/2024 11:15,07/03/2024 11:47,"32,68",San Telmo,C.C. El Muelle
07/03/2024 11:15,07/03/2024 11:47,"32,00",San Telmo,C.C. El Muelle
07/03/2024 11:15,07/03/2024 11:26,"10,82",Torre Las Palmas,San Telmo
07/03/2024 11:17,07/03/2024 11:22,"5,33",Plaza de la feria ,Plaza OShanahan
07/03/2024 11:22,07/03/2024 11:35,"13,33",Plaza de España (elect.),Castillo de Mata (elect.)
07/03/2024 11:22,07/03/2024 11:35,"13,30",Plaza de America,Parque Santa Catalina
07/03/2024 11:27,07/03/2024 11:45,"18,15",Ayuntamiento,Plaza del Pilar
07/03/2024 11:27,07/03/2024 11:36,"8,55",C.C. El Muelle,Castillo de la Luz
07/03/2024 11:29,07/03/2024 12:37,"67,45",Plaza de la feria ,Plazoleta de Farray
07/03/2024 11:30,07/03/2024 11:47,"17,35",Base Naval,Plaza Manuel Becerra
07/03/2024 11:32,07/03/2024 11:37,"5,52",Base Naval,Plaza de España
07/03/2024 11:33,07/03/2024 11:41,"8,22",Torre Las Palmas,C.C. El Muelle
07/03/2024 11:34,07/03/2024 11:43,"8,50",Plaza del Pilar,Plazoleta de Farray
07/03/2024 11:35,07/03/2024 11:45,"9,92",Base Naval,Castillo de la Luz
07/03/2024 11:37,07/03/2024 11:50,"13,38",Plaza Manuel Becerra,Base Naval
07/03/2024 11:37,07/03/2024 11:43,"5,95",Parque del Estadio Insular,Las Canteras - Luis Morote
07/03/2024 11:38,07/03/2024 11:42,"3,85",Plaza de España (elect.),Plazoleta de Farray
07/03/2024 11:39,07/03/2024 11:54,"15,73",San Telmo,Base Naval
07/03/2024 11:39,07/03/2024 11:46,"6,80",Base Naval,Plaza de España (elect.)
07/03/2024 11:39,07/03/2024 11:44,"4,75",Parque del Estadio Insular,Ayuntamiento
07/03/2024 11:41,07/03/2024 11:51,"9,28",Obelisco,San Telmo
07/03/2024 11:42,07/03/2024 11:58,"15,95",Las Canteras - Luis Morote,Leon y Castillo
07/03/2024 11:46,07/03/2024 11:56,"10,03",Castillo de la Luz,Plazoleta de Farray
07/03/2024 11:46,07/03/2024 11:55,"8,55",C.C. El Muelle,Plaza Manuel Becerra
07/03/2024 11:50,07/03/2024 12:02,"12,35",Torre Las Palmas,Plaza de la feria 
07/03/2024 11:50,07/03/2024 12:02,"12,22",Torre Las Palmas,Plaza de la feria 
07/03/2024 11:52,07/03/2024 12:02,"9,97",Plaza OShanahan,Parque del Estadio Insular
07/03/2024 11:54,07/03/2024 12:09,"15,05",Ayuntamiento,Ayuntamiento
07/03/2024 11:55,07/03/2024 12:13,"18,50",Leon y Castillo,Teatro Perez Galdos
07/03/2024 11:55,07/03/2024 12:00,"4,72",Plaza Manuel Becerra (elect.),El Sebadal (elec.)
07/03/2024 11:59,07/03/2024 12:11,"12,50",San Telmo,Oficina Sagulpa
07/03/2024 12:00,07/03/2024 12:08,"7,93",San Telmo,Teatro Perez Galdos
07/03/2024 12:02,07/03/2024 12:19,"16,43",Cabildo de Gran Canaria,Plaza de España
07/03/2024 12:03,07/03/2024 12:08,"5,05",Cabildo de Gran Canaria,Gabinete Literario
07/03/2024 12:04,07/03/2024 12:07,"3,87",ULPGC - Ingenieria,ULPGC - Polivalente I
07/03/2024 12:08,07/03/2024 12:25,"16,83",Plaza de la feria ,Parque Santa Catalina
07/03/2024 12:09,07/03/2024 12:24,"15,17",Plaza de la feria ,Base Naval
07/03/2024 12:10,07/03/2024 12:16,"6,42",Plaza de España,C.C. El Muelle
07/03/2024 12:11,07/03/2024 12:22,"11,42",Las Canteras - Luis Morote,Parque Santa Catalina
07/03/2024 12:11,07/03/2024 12:17,"6,07",ULPGC - Ingenieria,ULPGC - Polivalente I
07/03/2024 12:11,07/03/2024 12:15,"4,07",Plaza OShanahan,Plaza de la feria 
07/03/2024 12:14,07/03/2024 12:28,"14,33",Intermodal El Rincon,Plaza de España
07/03/2024 12:15,07/03/2024 12:24,"9,27",IES Mesa y Lopez,C.C. El Muelle
07/03/2024 12:17,07/03/2024 12:21,"4,72",Base Naval,Plaza de España (elect.)
07/03/2024 12:17,07/03/2024 12:38,"20,75",Canodromo,Parque Santa Catalina
07/03/2024 12:19,07/03/2024 12:32,"12,95",Aparcamiento Sanapu,Churruca
07/03/2024 12:19,07/03/2024 12:30,"11,28",Muelle Deportivo,San Telmo
07/03/2024 12:22,07/03/2024 12:30,"7,15",Cabildo de Gran Canaria,Plaza San Agustin
07/03/2024 12:24,07/03/2024 12:37,"12,37",Plaza de España,Parque Santa Catalina
07/03/2024 12:28,07/03/2024 12:30,"2,57",Torre Las Palmas,Ayuntamiento
07/03/2024 12:28,07/03/2024 12:42,"13,92",Ayuntamiento,Torre Woermann
07/03/2024 12:28,07/03/2024 12:44,"15,78",Torre Woermann,Plaza OShanahan
07/03/2024 12:33,07/03/2024 12:47,"13,92",Base Naval,Plaza Manuel Becerra
07/03/2024 12:35,07/03/2024 12:54,"18,87",Plaza del Pilar,Plaza de la feria 
07/03/2024 12:35,07/03/2024 14:31,"116,22",Plaza de la feria ,Plaza OShanahan
07/03/2024 12:36,07/03/2024 12:47,"11,52",C.C. La Minilla,Las Canteras - Luis Morote
07/03/2024 12:36,07/03/2024 12:48,"12,43",Base Naval,Las Canteras - Luis Morote
07/03/2024 12:36,07/03/2024 12:42,"5,65",Base Naval,C.C. El Muelle
07/03/2024 12:38,07/03/2024 12:41,"3,08",Plaza de la feria ,Leon y Castillo
07/03/2024 12:42,07/03/2024 12:58,"16,18",Plaza OShanahan,C.C. El Muelle
07/03/2024 12:42,07/03/2024 12:48,"5,88",Torre Woermann,Plaza Manuel Becerra
07/03/2024 12:43,07/03/2024 12:48,"5,50",C.C. El Muelle,Las Canteras - Luis Morote
07/03/2024 12:43,07/03/2024 12:48,"4,25",Plaza de España (elect.),Churruca
