Start,End,Minutos,Rental place,Return place
01/03/2024 08:04,01/03/2024 08:52,"48,88",Las Canteras - Luis Morote,Las Canteras - Luis Morote
01/03/2024 08:05,01/03/2024 08:09,"4,18",Plaza del Pilar,Plazoleta de Farray
01/03/2024 08:05,01/03/2024 08:22,"17,35",San Telmo,Plaza de España (elect.)
01/03/2024 08:07,01/03/2024 08:19,"11,98",Base Naval,Plaza de la feria 
01/03/2024 08:08,01/03/2024 08:12,"4,38",Plaza de España,Churruca
01/03/2024 08:08,01/03/2024 08:16,"7,78",San Telmo,Plaza San Agustin
01/03/2024 08:09,01/03/2024 08:22,"12,32",Paseo de Chil - Av. Escaleritas,Castillo de la Luz
01/03/2024 08:10,01/03/2024 08:27,"17,47",Oficina Sitycleta (elect.),Plaza Manuel Becerra (elect.)
01/03/2024 08:10,01/03/2024 08:17,"7,12",Base Naval,Churruca
01/03/2024 08:13,01/03/2024 08:24,"10,67",Paseo de Chil - Av. Escaleritas,Leon y Castillo
01/03/2024 08:14,01/03/2024 08:29,"15,33",San Telmo,Torre Las Palmas
01/03/2024 08:14,01/03/2024 08:19,"4,28",San Telmo,Plaza de la feria 
01/03/2024 08:15,01/03/2024 08:28,"13,85",Las Canteras - Luis Morote,Plaza OShanahan
01/03/2024 08:15,01/03/2024 08:22,"7,27",Parque Santa Catalina,Autoridad portuaria
01/03/2024 08:16,01/03/2024 08:27,"10,62",Paseo de Chil - Av. Escaleritas,San Telmo
01/03/2024 08:17,01/03/2024 08:23,"6,60",Plaza de la feria ,Teatro Perez Galdos
01/03/2024 08:17,01/03/2024 08:26,"8,90",Base Naval,Torre Woermann
01/03/2024 08:18,01/03/2024 08:24,"6,82",Cabildo de Gran Canaria,Teatro Perez Galdos
01/03/2024 08:18,01/03/2024 08:23,"5,65",Plazoleta de Farray,Base Naval
01/03/2024 08:18,01/03/2024 08:34,"16,38",Plaza del Pilar,San Bernardo
01/03/2024 08:18,01/03/2024 08:24,"5,43",Leon y Castillo,San Telmo
01/03/2024 08:19,01/03/2024 08:41,"22,03",Torre Woermann,Torre Woermann
01/03/2024 08:20,01/03/2024 08:32,"12,42",Gabinete Literario,Plaza OShanahan
01/03/2024 08:20,01/03/2024 08:30,"9,23",Base Naval,Plaza OShanahan
01/03/2024 08:22,01/03/2024 08:33,"10,97",Las Canteras - Luis Morote,Base Naval
01/03/2024 08:22,01/03/2024 08:34,"11,63",Plaza de España (elect.),El Sebadal (elec.)
01/03/2024 08:25,01/03/2024 08:28,"2,82",Base Naval,Torre Las Palmas
01/03/2024 08:25,01/03/2024 08:36,"10,17",Oficina de la Sitycleta,Base Naval
01/03/2024 08:26,01/03/2024 08:40,"13,40",Leon y Castillo,Mercado Central
01/03/2024 08:30,01/03/2024 08:38,"7,93",Plaza Manuel Becerra,Torre Woermann
01/03/2024 08:30,01/03/2024 08:44,"14,18",Piscina Julio Navarro,San Telmo
01/03/2024 08:30,01/03/2024 08:40,"10,25",Plaza de España (elect.),Castillo de Mata (elect.)
01/03/2024 08:30,01/03/2024 08:56,"25,62",Castillo de Mata (elect.),El Sebadal (elec.)
01/03/2024 08:31,01/03/2024 08:48,"16,15",Plaza del Pilar,Plaza OShanahan
01/03/2024 08:32,01/03/2024 08:44,"11,67",Intermodal El Rincon,Parque Santa Catalina
01/03/2024 08:32,01/03/2024 08:41,"9,10",C.C. El Muelle,Plaza de España
01/03/2024 08:33,01/03/2024 08:48,"15,32",Plazoleta de Farray,Obelisco
01/03/2024 08:34,01/03/2024 08:56,"21,68",Plaza de la feria ,Torre Woermann
01/03/2024 08:36,01/03/2024 08:52,"15,62",Torre Woermann,Churruca
01/03/2024 08:36,01/03/2024 08:48,"11,43",Torre Las Palmas,Obelisco
01/03/2024 08:36,01/03/2024 08:46,"9,23",Parque Santa Catalina,Plaza del Pilar
01/03/2024 08:39,01/03/2024 08:48,"9,62",Plaza de España (elect.),Oficina de la Sitycleta
01/03/2024 08:41,01/03/2024 08:50,"9,52",Torre Woermann,Plaza del Pilar
01/03/2024 08:41,01/03/2024 08:52,"10,27",Paseo de Chil - Av. Escaleritas,Plaza de la feria 
01/03/2024 08:42,01/03/2024 09:06,"23,73",Las Canteras - Luis Morote,Las Canteras - Luis Morote
01/03/2024 08:43,01/03/2024 09:06,"22,83",Cabildo de Gran Canaria,Plaza OShanahan
01/03/2024 08:43,01/03/2024 08:52,"8,95",Plazoleta de Farray,Plaza del Pilar
01/03/2024 08:45,01/03/2024 08:52,"6,85",San Telmo,Plaza OShanahan
01/03/2024 08:45,01/03/2024 09:01,"16,33",Cabildo de Gran Canaria,San Cristobal
01/03/2024 08:45,01/03/2024 09:01,"15,40",Barranquillo Don Zoilo,Churruca
01/03/2024 08:46,01/03/2024 09:01,"15,58",Mercado Central,Obelisco
01/03/2024 08:47,01/03/2024 08:55,"8,45",Plazoleta de Farray,Torre Woermann
01/03/2024 08:48,01/03/2024 08:56,"8,58",Parque del Estadio Insular,Plaza de la feria 
01/03/2024 08:50,01/03/2024 08:58,"7,43",Leon y Castillo,San Bernardo
01/03/2024 08:50,01/03/2024 09:10,"19,90",San Telmo,Mercado Central
01/03/2024 08:52,01/03/2024 09:02,"9,90",Barranquillo Don Zoilo,Plazoleta de Farray
01/03/2024 08:52,01/03/2024 09:22,"30,45",Mercado Central,Teatro Perez Galdos
01/03/2024 08:53,01/03/2024 09:07,"13,55",Parque Santa Catalina,Leon y Castillo
01/03/2024 08:53,01/03/2024 09:02,"8,33",Muelle Deportivo,San Telmo
01/03/2024 08:54,01/03/2024 09:22,"28,15",San Cristobal,Churruca
01/03/2024 08:54,01/03/2024 09:10,"15,87",Plazoleta de Farray,Plaza de la feria 
01/03/2024 08:56,01/03/2024 09:16,"19,82",San Cristobal,Oficina de la Sitycleta
01/03/2024 08:56,01/03/2024 09:20,"24,43",Plaza de la feria ,Plazoleta de Farray
01/03/2024 08:57,01/03/2024 09:12,"15,17",Cabildo de Gran Canaria,Obelisco
01/03/2024 08:58,01/03/2024 08:59,"1,83",ULPGC - Ingenieria,ULPGC - Educacion fisica
01/03/2024 08:58,01/03/2024 08:59,"1,67",ULPGC - Ingenieria,ULPGC - Educacion fisica
01/03/2024 08:58,01/03/2024 09:19,"21,03",Oficina de la Sitycleta,Plaza del Pilar
01/03/2024 09:00,01/03/2024 09:07,"7,22",Torre Las Palmas,C.C. El Muelle
01/03/2024 09:01,01/03/2024 09:05,"3,62",Plazoleta de Farray,C.C. El Muelle
01/03/2024 09:02,01/03/2024 09:14,"11,85",IES Mesa y Lopez,Piscina Julio Navarro
01/03/2024 09:03,01/03/2024 09:07,"4,27",Piscina Julio Navarro,Leon y Castillo
01/03/2024 09:08,01/03/2024 09:18,"9,52",Plaza de España,Piscina Julio Navarro
01/03/2024 09:09,01/03/2024 09:11,"2,48",Intermodal El Rincon,Intermodal El Rincon
01/03/2024 09:12,01/03/2024 09:24,"11,80",Ayuntamiento,Teatro Perez Galdos
01/03/2024 09:15,01/03/2024 09:39,"24,12",Castillo de la Luz,Plaza del Pilar
01/03/2024 09:16,01/03/2024 09:29,"12,83",Piscina Julio Navarro,Plazoleta de Farray
01/03/2024 09:18,01/03/2024 09:31,"13,17",Oficina de la Sitycleta,Mercado Central
01/03/2024 09:18,01/03/2024 09:30,"11,27",Castillo de Mata (elect.),Plaza de España (elect.)
01/03/2024 09:26,01/03/2024 09:31,"5,32",Churruca,Plaza del Pilar
01/03/2024 09:28,01/03/2024 09:34,"5,72",Castillo de la Luz,C.C. El Muelle
01/03/2024 09:29,01/03/2024 09:35,"6,47",Teatro Perez Galdos,Plaza de la feria 
01/03/2024 09:31,01/03/2024 09:49,"17,95",Plaza del Pilar,Plaza del Pilar
01/03/2024 09:31,01/03/2024 09:48,"17,02",Plaza OShanahan,C.C. El Muelle
01/03/2024 09:32,01/03/2024 09:41,"9,05",Plaza OShanahan,San Telmo
01/03/2024 09:32,01/03/2024 09:49,"16,67",Castillo de la Luz,Plaza de España
01/03/2024 09:41,01/03/2024 09:46,"5,05",Plaza OShanahan,Obelisco
01/03/2024 09:42,01/03/2024 10:02,"19,58",El Sebadal (elec.),Plaza de España (elect.)
01/03/2024 09:42,01/03/2024 09:54,"12,02",San Telmo,Parque del Estadio Insular
01/03/2024 09:42,01/03/2024 09:59,"17,23",San Telmo,Plaza de España (elect.)
01/03/2024 09:45,01/03/2024 10:21,"36,40",San Bernardo,Parque Santa Catalina
01/03/2024 09:52,01/03/2024 10:15,"23,10",San Telmo,Plaza del Pilar
01/03/2024 09:54,01/03/2024 10:10,"16,48",Plaza de la feria ,Parque Santa Catalina
01/03/2024 09:55,01/03/2024 09:59,"4,35",Parque del Estadio Insular,Plaza de España (elect.)
01/03/2024 09:57,01/03/2024 10:12,"15,43",C.C. La Minilla,Torre Woermann
01/03/2024 09:58,01/03/2024 10:09,"10,70",C.C. El Muelle,Churruca
01/03/2024 09:59,01/03/2024 10:03,"3,93",Torre Las Palmas,Torre Las Palmas
01/03/2024 09:59,01/03/2024 10:07,"7,62",Plaza de España,C.C. El Muelle
01/03/2024 10:02,01/03/2024 10:11,"9,13",Plaza Manuel Becerra,C.C. El Muelle
01/03/2024 10:07,01/03/2024 10:16,"9,03",Plaza del Pilar,Torre Woermann
01/03/2024 10:07,01/03/2024 10:16,"9,35",Mercado Central,Plaza Manuel Becerra
01/03/2024 10:07,01/03/2024 10:17,"9,88",Las Canteras - Luis Morote,Plaza del Pilar
01/03/2024 10:07,01/03/2024 10:12,"4,65",Plazoleta de Farray,Parque del Estadio Insular
01/03/2024 10:15,01/03/2024 10:28,"12,62",Torre Woermann,Churruca
01/03/2024 10:17,01/03/2024 10:33,"15,63",Oficina de la Sitycleta,Teatro Perez Galdos
01/03/2024 10:20,01/03/2024 10:26,"5,98",Leon y Castillo,San Telmo
01/03/2024 10:24,01/03/2024 10:29,"5,00",Parque del Estadio Insular,Ayuntamiento
01/03/2024 10:27,01/03/2024 10:38,"11,32",Teatro Perez Galdos,Oficina de la Sitycleta
01/03/2024 10:28,01/03/2024 10:48,"19,07",Plaza del Pilar,Plazoleta de Farray
01/03/2024 10:29,01/03/2024 10:41,"12,10",Plaza de España (elect.),El Sebadal (elec.)
01/03/2024 10:33,01/03/2024 10:41,"8,05",Plazoleta de Farray,Intermodal El Rincon
01/03/2024 10:39,01/03/2024 10:47,"7,87",Plaza del Pilar,Plazoleta de Farray
01/03/2024 10:41,01/03/2024 10:50,"8,55",Piscina Julio Navarro,IES Mesa y Lopez
01/03/2024 10:41,01/03/2024 11:13,"31,65",Parque Santa Catalina,C.C. El Muelle
01/03/2024 10:43,01/03/2024 10:57,"13,45",Oficina de la Sitycleta,Churruca
01/03/2024 10:46,01/03/2024 11:12,"25,42",Parque Santa Catalina,C.C. El Muelle
